,测试因子,年化收益率,年化夏普率,最大回撤率,alpha,beta,信息比率
0,Variance60,-5.10%,-175.26%,28.50%,-4.52%,50.88%,-15.45%
1,Skewness20,-7.20%,-227.02%,27.52%,-6.61%,55.16%,-33.13%
2,HSIGMA,-6.59%,-197.85%,28.85%,-5.99%,49.91%,-24.08%
3,InformationRatio20,-1.86%,-86.51%,19.20%,-0.80%,55.71%,7.76%
4,Sharperatio20,-5.52%,-172.30%,21.19%,-4.65%,55.64%,-18.45%
5,DASTD,-4.30%,-164.33%,22.76%,-3.83%,49.57%,-10.00%
6,BackwardADJ,1.70%,-8.53%,11.95%,1.88%,42.50%,33.05%
7,Kurtosis120,0.59%,-28.48%,21.16%,2.18%,62.65%,24.46%
8,Kurtosis20,-7.76%,-231.18%,30.89%,-7.18%,53.57%,-34.74%
9,DDNBT,-3.80%,-146.16%,21.56%,-3.14%,52.62%,-6.38%
10,DDNCR,3.81%,40.59%,22.74%,4.87%,56.77%,48.49%
11,DDNSR,-4.30%,-144.26%,32.83%,-3.47%,52.49%,-9.13%
12,InformationRatio60,-1.28%,-74.40%,27.69%,-0.20%,56.89%,12.23%
13,Sharperatio60,0.06%,-40.17%,31.29%,1.36%,56.29%,19.59%
