,测试因子,年化收益率,年化夏普率,最大回撤率,alpha,beta,信息比率
基础类
1,GrossProfit,0.07500659067372872,1.4404165159908422,0.10275649371365043,0.07784478999390915,0.4937466545690481,0.78325650437987
2,WorkingCapital,0.04487741714193949,0.5915904567551336,0.2286578963792812,0.052863817883237005,0.5414462695699366,0.5479725758190225
3,TotalFixedAssets,0.055980079595072674,0.9233112884640041,0.13382577738960524,0.060450408518257476,0.4966438892514182,0.6314612756065
4,NetIntExpense,0.11866562599654552,2.1674560065721677,0.1367382451506691,0.12414751573712045,0.5761041283471238,1.051114838789823
5,FinanExpenseTTM,0.13357148915200726,2.5737289525772766,0.12965218295764278,0.13581036734421778,0.5514047017830646,1.1540638620180754
6,AdminExpenseTTM,0.12389389959411767,2.7900568675663524,0.10233360913983897,0.12121655936650573,0.4740331949258558,1.1361269764469055

质量类
7,DebtEquityRatio,0.02661595717973464,0.15956036605570087,0.16312345522235538,0.034159909655808736,0.51788500231849,0.4036900529911489
8,SuperQuickRatio,0.07135739337976399,1.0780987643478774,0.20809492508219504,0.08164905048749202,0.5623089153332127,0.6636647155085221
9,CashToCurrentLiability,0.09722546801589194,1.6634440758264684,0.1714083504655656,0.105020093962748,0.5677406027958024,0.8663703828948531
10,ROIC,0.13607088024907887,2.260411355133153,0.21505135918830484,0.1441409420214608,0.6126982887003076,1.0625475233985775
11,InterestCover,0.03883067309864829,0.42077536357047335,0.1421495269367366,0.0485126489885235,0.542777968183865,0.4700591358278554
12,ROAEBIT,0.03262861051577804,0.26771154659288326,0.19981863835230415,0.04553255082905494,0.5927705203892277,0.4331788024335882

情绪类
13,TVMA20,0.11926215529984407,0.09290755376742792,0.21280364523219236,0.046349987770899374,0.6016708813994999,0.4842429151028464
14,VOL20,0.0839743055496898,0.02845670896691019,0.15609591433796868,0.03256378060499506,0.5164545384202233,0.37098916961108847
15,OBV20,0.10002732684178828,0.0629304644534211,0.1408102193326015,0.03399074104856147,0.4581820097203014,0.38985874030067913
16,JDQS20,0.07573701079635471,0.011012144593941075,0.18657138100700663,0.03591341485425488,0.5892255401099838,0.3409487523642463

风险类，无
