,测试因子,年化收益率,年化夏普率,最大回撤率,alpha,beta,信息比率
0,OperatingRevenueGrowRate,-9.36%,-253.99%,33.06%,-8.67%,57.50%,-46.25%
1,TotalAssetGrowRate,2.18%,4.03%,20.31%,3.35%,58.54%,37.86%
2,EGRO,-3.03%,-121.67%,23.76%,-2.10%,57.34%,-0.55%
3,FinancingCashGrowRate,-7.60%,-235.01%,28.98%,-7.09%,53.61%,-34.90%
4,NPParentCompanyGrowRate,2.18%,4.00%,17.47%,3.36%,59.23%,38.42%
5,NetProfitGrowRate,0.66%,-30.11%,15.59%,1.89%,60.47%,27.99%
6,SGRO,-1.93%,-98.11%,18.22%,-1.24%,51.38%,7.67%
7,TotalProfitGrowRate,-4.20%,-147.97%,23.98%,-3.32%,56.49%,-9.50%
,,,,,,,
8,MA10,4.78%,67.56%,17.97%,5.47%,52.55%,56.75%
9,MA120,6.54%,103.88%,20.86%,7.36%,55.41%,68.30%
10,DBCD,-4.09%,-144.39%,18.39%,-3.24%,54.80%,-8.31%
11,EMA12,3.03%,23.62%,23.21%,4.04%,56.69%,44.31%
12,CR20,-8.74%,-221.99%,32.62%,-7.67%,60.62%,-39.66%
13,UOS,-2.12%,-85.47%,22.85%,-0.92%,53.80%,5.33%
14,CHAIKINVOLATILITY,-11.87%,-350.98%,36.53%,-11.93%,51.74%,-67.17%
,,,,,,,
15,BIAS20,-9.71%,-284.97%,31.02%,-9.53%,49.13%,-46.78%
16,CMO,-4.42%,-156.71%,22.46%,-3.60%,56.27%,-11.47%
17,PVT,-1.65%,-92.77%,17.59%,-0.89%,54.29%,10.47%
18,CCI5,-0.06%,-50.89%,15.85%,0.76%,54.06%,22.36%
19,SRMI,-6.27%,-199.02%,24.47%,-5.64%,53.03%,-24.16%
20,CMOSD,-0.72%,-66.42%,25.31%,0.05%,52.19%,16.38%
21,BEARPOWER,-6.98%,-187.48%,30.14%,-5.70%,63.60%,-29.35%
22,AD,2.34%,9.11%,20.11%,2.78%,47.45%,38.93%
